2018-01-28 16:16:29.35,2018-01-28 16:16:32.56,0:00:03.20
2018-01-28 16:18:59.23,2018-01-28 16:18:59.93,0:00:00.70
2018-01-28 16:19:12.27,2018-01-28 16:19:16.38,0:00:04.11
2018-01-28 16:20:25.55,2018-01-28 16:20:59.74,0:00:34.18
2018-01-28 16:22:09.53,2018-01-28 16:22:15.95,0:00:06.41
2018-01-28 16:34:48.02,2018-01-28 16:34:52.13,0:00:04.11
2018-01-28 16:35:06.77,2018-01-28 16:35:09.98,0:00:03.20
2018-01-28 16:39:46.19,2018-01-28 16:39:49.30,0:00:03.10
2018-01-28 16:42:34.04,2018-01-28 16:42:49.28,0:00:15.23
2018-01-28 16:43:18.36,2018-01-28 16:43:22.67,0:00:04.31
2018-01-28 16:43:30.29,2018-01-28 16:43:32.90,0:00:02.60
2018-01-28 16:45:26.20,2018-01-28 16:45:30.61,0:00:04.41
2018-01-28 16:45:39.53,2018-01-28 16:45:42.74,0:00:03.20
2018-01-28 16:52:16.96,2018-01-28 16:52:19.57,0:00:02.60
2018-01-28 17:15:24.73,2018-01-28 17:15:32.45,0:00:07.72
2018-01-28 17:17:16.63,2018-01-28 17:17:29.76,0:00:13.13
2018-01-28 17:18:20.30,2018-01-28 17:18:25.21,0:00:04.91
2018-01-28 17:18:29.02,2018-01-28 17:18:41.96,0:00:12.93
2018-01-28 17:27:05.47,2018-01-28 17:27:11.38,0:00:05.91
2018-01-28 17:37:54.45,2018-01-28 17:38:08.99,0:00:14.53
2018-01-28 17:53:20.28,2018-01-28 17:53:25.59,0:00:05.31
2018-01-28 18:17:25.16,2018-01-28 18:17:28.47,0:00:03.30
2018-01-28 19:09:10.45,2018-01-28 19:09:29.89,0:00:19.44
2018-01-28 19:10:54.62,2018-01-28 19:11:03.94,0:00:09.32
2018-01-28 19:11:07.05,2018-01-28 19:11:12.46,0:00:05.41
2018-01-28 20:27:22.97,2018-01-28 20:27:28.08,0:00:05.11
2018-01-28 20:31:08.27,2018-01-28 20:31:15.69,0:00:07.41
2018-01-28 20:31:25.82,2018-01-28 20:31:30.93,0:00:05.11
2018-01-28 22:10:39.01,2018-01-28 22:10:41.72,0:00:02.70
2018-01-29 07:53:07.92,2018-01-29 07:53:18.55,0:00:10.62
2018-01-29 07:56:20.93,2018-01-29 07:56:30.25,0:00:09.32
2018-01-29 08:40:47.46,2018-01-29 08:41:01.39,0:00:13.93
2018-01-29 08:43:41.61,2018-01-29 08:44:00.96,0:00:19.34
2018-01-29 09:10:12.64,2018-01-29 09:10:19.16,0:00:06.51
2018-01-29 09:11:35.46,2018-01-29 09:11:39.87,0:00:04.41
2018-01-29 10:31:32.88,2018-01-29 10:32:22.51,0:00:49.63
2018-01-29 10:32:25.22,2018-01-29 10:32:27.83,0:00:02.60
2018-01-29 12:17:53.36,2018-01-29 12:18:02.89,0:00:09.52
2018-01-29 12:44:10.54,2018-01-29 12:44:29.99,0:00:19.45
2018-01-29 12:45:35.47,2018-01-29 12:45:59.63,0:00:24.16
2018-01-29 12:47:13.33,2018-01-29 12:47:19.64,0:00:06.31
2018-01-29 12:47:33.78,2018-01-29 12:47:38.89,0:00:05.11
2018-01-29 12:54:12.12,2018-01-29 12:54:36.18,0:00:24.05
2018-01-29 12:57:04.66,2018-01-29 12:57:12.48,0:00:07.82
2018-01-29 12:57:12.68,2018-01-29 12:57:15.79,0:00:03.11
2018-01-29 18:29:41.99,2018-01-29 18:29:56.83,0:00:14.83
2018-01-29 18:36:22.05,2018-01-29 18:36:29.87,0:00:07.82
2018-01-29 18:36:45.01,2018-01-29 18:50:20.80,0:13:35.79
2018-01-29 18:50:39.25,2018-01-29 18:50:44.56,0:00:05.31
2018-01-29 18:51:13.73,2018-01-29 18:51:29.57,0:00:15.83
2018-01-29 19:07:28.67,2018-01-29 19:07:51.02,0:00:22.35
2018-01-29 19:52:00.31,2018-01-29 19:52:20.56,0:00:20.25
2018-01-29 20:34:55.90,2018-01-29 20:35:33.10,0:00:37.19
2018-01-29 22:18:02.42,2018-01-29 22:19:03.99,0:01:01.56
2018-01-29 22:20:14.28,2018-01-30 15:54:50.36,17:34:36.08
2018-01-30 15:54:50.86,2018-01-30 18:11:35.98,2:16:45.11
2018-01-30 18:14:12.99,2018-01-30 18:17:52.46,0:03:39.46
2018-01-30 18:31:16.45,2018-01-30 18:31:44.12,0:00:27.67
2018-01-30 18:32:12.00,2018-01-30 18:32:29.95,0:00:17.94
2018-01-30 19:09:21.24,2018-01-30 19:09:26.35,0:00:05.11
2018-01-30 20:06:31.72,2018-01-30 20:06:40.95,0:00:09.22
2018-01-30 20:06:42.35,2018-01-31 08:46:12.39,12:39:30.03
2018-01-31 09:34:54.71,2018-01-31 09:35:04.54,0:00:09.82
2018-01-31 09:35:19.48,2018-01-31 09:35:23.69,0:00:04.21
2018-01-31 09:38:52.64,2018-01-31 09:38:56.45,0:00:03.80
2018-01-31 09:39:51.90,2018-01-31 09:39:55.51,0:00:03.60
2018-01-31 10:20:32.65,2018-01-31 10:20:39.57,0:00:06.91
2018-01-31 10:22:56.64,2018-01-31 10:23:05.76,0:00:09.12
2018-01-31 10:24:31.60,2018-01-31 10:24:40.52,0:00:08.92
2018-01-31 10:24:42.93,2018-01-31 10:24:49.75,0:00:06.81
2018-01-31 10:26:35.04,2018-01-31 10:26:39.05,0:00:04.01
2018-01-31 10:49:44.63,2018-01-31 10:49:47.64,0:00:03.00
2018-01-31 10:49:54.36,2018-01-31 10:49:57.06,0:00:02.70
2018-01-31 10:55:55.01,2018-01-31 10:56:08.64,0:00:13.63
2018-01-31 11:12:14.45,2018-01-31 11:12:33.10,0:00:18.64
2018-01-31 11:13:58.22,2018-01-31 11:14:04.94,0:00:06.71
2018-01-31 11:15:37.39,2018-01-31 11:15:47.51,0:00:10.12
2018-01-31 11:43:46.71,2018-01-31 11:44:10.77,0:00:24.06
2018-01-31 11:44:51.88,2018-01-31 11:45:15.44,0:00:23.56
2018-01-31 11:47:10.14,2018-01-31 11:47:27.59,0:00:17.44
2018-01-31 11:51:13.19,2018-01-31 11:51:19.81,0:00:06.61
2018-01-31 14:11:08.90,2018-01-31 14:11:18.63,0:00:09.72
2018-01-31 14:11:39.38,2018-01-31 14:11:42.39,0:00:03.00
2018-01-31 14:13:13.54,2018-01-31 14:13:43.01,0:00:29.47
2018-01-31 15:00:34.94,2018-01-31 15:00:38.34,0:00:03.40
2018-01-31 15:05:15.17,2018-01-31 15:05:19.68,0:00:04.51
2018-01-31 16:33:53.08,2018-01-31 16:33:55.89,0:00:02.80
2018-01-31 20:40:21.63,2018-01-31 20:40:26.44,0:00:04.81
2018-01-31 20:40:30.75,2018-01-31 20:40:33.56,0:00:02.80
2018-01-31 21:45:18.51,2018-01-31 21:45:22.32,0:00:03.80
2018-02-01 08:02:18.17,2018-02-01 08:02:21.08,0:00:02.90
2018-02-01 08:02:57.17,2018-02-01 08:02:59.38,0:00:02.20
